Change,Excluded,Original,en,it,
,,Gleaming armor blessed by the highest clerics.,Gleaming armor blessed by the highest clerics.,"Armatura scintillante benedetta dai più alti
chierici.",
,,Blessed Chainmail,Blessed Chainmail,Cotta di maglia benedetta,
,,Chainmail blessed to protect against unholy forces.,Chainmail blessed to protect against unholy forces.,"Cotta di maglia benedetta per proteggere dalle
forze maligne.",
,,High Cleric's Vestments,High Cleric's Vestments,Paramenti del Sommo Chierico,
,,Ceremonial robes worn by high clerics.,Ceremonial robes worn by high clerics.,"Abiti cerimoniali indossati dagli alti
ecclesiastici.",
,,Templar Shield,Templar Shield,Scudo Templare,
,,Shield emblazoned with holy symbols.,Shield emblazoned with holy symbols.,Scudo decorato con simboli sacri.,
,,Ranger's Equipment,Ranger's Equipment,Equipaggiamento del Ranger,
,,Specialized gear for archers and rangers.,Specialized gear for archers and rangers.,Attrezzatura specializzata per arcieri e ranger.,
,,Master Archer's Leathers,Master Archer's Leathers,Calzari da arciere maestro,
,,Flexible leather armor favored by master archers.,Flexible leather armor favored by master archers.,"Armatura di cuoio flessibile, preferita dai
maestri arcieri.",
,,Forest Ranger's Garb,Forest Ranger's Garb,Abito da guardia forestale,
,,Light woodland armor for stealth and mobility.,Light woodland armor for stealth and mobility.,"Armatura leggera da bosco per furtività e
mobilità.",
,,Archer's Gloves,Archer's Gloves,Guanti da arciere,
,,Special gloves that improve archery accuracy.,Special gloves that improve archery accuracy.,"Guanti speciali che migliorano la precisione nel
tiro con l'arco.",
,,Archer's Bracer,Archer's Bracer,Bracciale dell'arciere,
,,Protective bracer for the bow arm.,Protective bracer for the bow arm.,Parabraccio protettivo per il braccio dell'arco.,
,,Ranger's Cloak,Ranger's Cloak,Mantello del Ranger,
,,Hooded cloak that helps conceal the wearer.,Hooded cloak that helps conceal the wearer.,"Mantello con cappuccio che aiuta a nascondere chi
lo indossa.",
,,Assassin's Gear,Assassin's Gear,Equipaggiamento dell'assassino,
,,Armor worn by stealthy assassins and thieves.,Armor worn by stealthy assassins and thieves.,Armatura indossata da ladri e assassini furtivi.,
,,Shadow Guild Leathers,Shadow Guild Leathers,Pelle della Gilda Ombra,
,,Darkened leather armor designed for stealth operations.,Darkened leather armor designed for stealth operations.,"Armatura in cuoio oscurato progettata per
operazioni furtive.",
,,Nightstalker's Garb,Nightstalker's Garb,Abito del cacciatore notturno,
,,Tight-fitting garb that minimizes noise.,Tight-fitting garb that minimizes noise.,Abito attillato che riduce al minimo il rumore.,
,,Assassin's Cowl,Assassin's Cowl,Cappuccio dell'assassino,
,,Mask that conceals identity and muffles breathing.,Mask that conceals identity and muffles breathing.,"Maschera che nasconde l'identità e attutisce la
respirazione.",
,,Silent Step Boots,Silent Step Boots,Stivali Silent Step,
,,Specially designed boots for silent movement.,Specially designed boots for silent movement.,"Stivali appositamente progettati per movimenti
silenziosi.",
,,Noble Attire,Noble Attire,Abito nobile,
,,Royal garments offering moderate protection and high status.,Royal garments offering moderate protection and high status.,"Abiti regali che offrono una protezione moderata e
uno status elevato.",
,,Royal Battle Regalia,Royal Battle Regalia,Royal Battle Regalia,
,,Ceremonial armor worn by kings in battle.,Ceremonial armor worn by kings in battle.,"Armatura cerimoniale indossata dai re in
battaglia.",
,,Noble's Finery,Noble's Finery,Abiti eleganti da nobile,
,,Luxurious clothing worn by nobility.,Luxurious clothing worn by nobility.,Abiti lussuosi indossati dalla nobiltà.,
,,Royal Crown,Royal Crown,Corona reale,
,,Elegant crown symbolizing royal authority.,Elegant crown symbolizing royal authority.,Elegante corona che simboleggia l'autorità reale.,
,,Noble's Cape,Noble's Cape,Mantello del Nobile,
,,Ceremonial cape denoting noble status.,Ceremonial cape denoting noble status.,"Mantello cerimoniale che denota uno status
nobiliare.",
,,Legendary Armaments,Legendary Armaments,Armamenti leggendari,
,,Armor crafted from rare and mythical materials.,Armor crafted from rare and mythical materials.,Armatura realizzata con materiali rari e mitici.,
,,Dragonscale Plate,Dragonscale Plate,Piatto di scaglie di drago,
,,Legendary armor forged from dragon scales.,Legendary armor forged from dragon scales.,"Armatura leggendaria forgiata con scaglie di
drago.",
,,Elven Silverweave,Elven Silverweave,Tessitura argentea elfica,
,,Enchanted armor that moves with the wearer like a second skin.,Enchanted armor that moves with the wearer like a second skin.,"Un'armatura incantata che si adatta ai movimenti
di chi la indossa, come una seconda pelle.",
,,Celestial Archmage Robes,Celestial Archmage Robes,Vesti dell'Arcimago Celeste,
,,Mystical robes woven with cosmic energies.,Mystical robes woven with cosmic energies.,Vesti mistiche intessute di energie cosmiche.,
,,Aegis of the Ancients,Aegis of the Ancients,Egida degli Antichi,
,,Legendary shield that can deflect even the mightiest blows.,Legendary shield that can deflect even the mightiest blows.,"Scudo leggendario in grado di deviare anche i
colpi più potenti.",
,,Helm of the War God,Helm of the War God,Elmo del Dio della Guerra,
,,Helmet said to have been worn by a god of war.,Helmet said to have been worn by a god of war.,"Elmo che si dice fosse indossato da un dio della
guerra.",
,,Commoner's Garb,Commoner's Garb,Abito del popolano,
,,Simple clothing worn by common folk in medieval times.,Simple clothing worn by common folk in medieval times.,"Abiti semplici indossati dalla gente comune nel
medioevo.",
,,Peasant's Tunic,Peasant's Tunic,Tunica del contadino,
,,Simple tunic worn by peasants and commoners.,Simple tunic worn by peasants and commoners.,"Semplice tunica indossata dai contadini e dalla
gente comune.",
NEW,,"
[Enemies]
",,,
,,Bell Goblin,Bell Goblin,Goblin della campana,
,,Goblin Warrior,Goblin Warrior,Guerriero Goblin,
,,Goblin Shaman,Goblin Shaman,Sciamano Goblin,
,,Goblin Chieftain,Goblin Chieftain,Capo Goblin,
,,Forest Treant,Forest Treant,Treant della foresta,
,,Flame Imp,Flame Imp,Demone della fiamma,
,,Frost Elemental,Frost Elemental,Elementale del gelo,
,,Desert Scorpion,Desert Scorpion,Scorpione del deserto,
,,AirElemental,Air Elemental,Elementale dell'Aria,
,,Sewers slime,Sewers slime,Melma delle fogne,
,,Thunder Sprite,Thunder Sprite,Folletto del tuono,
,,Crimson Sucker,Crimson Sucker,Succhiatore cremisi,
,,Earth Golem,Earth Golem,Golem di Metallo,
,,Shadow Wraith,Shadow Wraith,Spettro dell'ombra,
,,Water Nymph,Water Nymph,Ninfa dell'acqua,
,,Royal Knight,Royal Knight,Cavaliere Reale,
,,Dark Mage,Dark Mage,Mago Oscuro,
,,Dragon Monk,Dragon Monk,Monaco Drago,
,,Phantom Archer,Phantom Archer,Arciere fantasma,
,,Shadow Thief,Shadow Thief,Ladro d'ombra,
,,Fiery Sleep Demon,Fiery Sleep Demon,Demone del sonno ardente,
,,Frost Dragon,Frost Dragon,Drago del gelo,
,,Void Sorcerer,Void Sorcerer,Stregone del Vuoto,
,,Royal Champion,Royal Champion,Campione Reale,
,,Ancient Lich,Ancient Lich,Antico Lich,
,,Mi-go Brain Harvester,Mi-go Brain Harvester,Mietitore di cervelli Mi-go,
,,Deep One Hybrid,Deep One Hybrid,Ibrido profondo,
,,Yog-Sothoth Spawn,Yog-Sothoth Spawn,Progenie di Yog-Sothoth,
,,Nephilim Remnant,Nephilim Remnant,Residuo dei Nephilim,
,,Aiwass Messenger,Aiwass Messenger,Messaggero di Aiwass,
,,Choronzon,Choronzon,Choronzon,
,,Grey Zeta Reticulan,Grey Zeta Reticulan,Grigio Zeta Reticulano,
,,Nyarlathotep Avatar,Nyarlathotep Avatar,Avatar di Nyarlathotep,
,,Babalon Priestess,Babalon Priestess,Sacerdotessa Babalon,
,,Annunaki Overlord,Annunaki Overlord,Signore degli Annunaki,
,,Shoggoth,Shoggoth,Shoggoth,
,,Elder Thing,Elder Thing,Cosa Anziana,
,,Beast 666,Beast 666,Bestia 666,
,,Yellow King,Yellow King,Re Giallo,
,,Azathoth Fragment,Azathoth Fragment,Frammento di Azathoth,
,,Cybernetic Knight,Cybernetic Knight,Cavaliere cibernetico,
,,Quantum Fluctuation,Quantum Fluctuation,Fluttuazione quantistica,
,,Mr. Inadequate,Mr. Inadequate,Mr. Inadeguato,
,,Talking Door,Talking Door,Porta parlante,
,,Bureaucratic Nightmare,Bureaucratic Nightmare,Incubo burocratico,
,,Sentient Traffic Cone,Sentient Traffic Cone,Cono stradale senziente,
,,Eternal Intern,Eternal Intern,Stagista eterno,
,,Recursive Paradox,Recursive Paradox,Paradosso ricorsivo,
,,Corporate Ninja,Corporate Ninja,Ninja aziendale,
,,Mianni,Mianni,Mianni,
,,Celestial Tyrannosaurus,Celestial Tyrannosaurus,Tirannosauro celeste,
,,Motivational Fungoid,Motivational Fungoid,Fungoide motivazionale,
,,Disco Revenant,Disco Revenant,Disco Revenant,
,,Interdimensional Tourist,Interdimensional Tourist,Turista interdimensionale,
,,Hyperdimensional Cube,Hyperdimensional Cube,Cubo iperdimensionale,
,,Sentient Meme,Sentient Meme,Meme senziente,
,,Reality TV Host,Reality TV Host,Conduttore di reality show,
,,Artificial Intelligence,Artificial Intelligence,Intelligenza artificiale,
,,Philosophical Zombie,Philosophical Zombie,Zombi filosofico,
,,Glitch Entity,Glitch Entity,Entità Glitchata,
,,Quantum Supersoldier,Quantum Supersoldier,Supersoldato quantico,
,,Chronovore,Chronovore,Cronovoro,
,,Viral Marketing Campaign,Viral Marketing Campaign,Campagna di marketing virale,
,,Living Mathematical Theorem,Living Mathematical Theorem,Teorema matematico vivente,
,,Slime Knight,Slime Knight,Cavaliere slime,
,,Forest Witch,Forest Witch,Strega della foresta,
,,Mechanical Golem,Mechanical Golem,Golem meccanico,
,,Storm Banshee,Storm Banshee,Banshee della tempesta,
,,Crystal Siren,Crystal Siren,Sirena di cristallo,
,,Forest Rat,Forest Rat,Topo della foresta,
,,Street Punk,Street Punk,Punk di strada,
,,Robotic Drone,Robotic Drone,Drone robotico,
,,Zombie Villager,Zombie Villager,Zombie Villager,
,,Space Cadet,Space Cadet,Cadetto Spaziale,
,,Mutant Bug,Mutant Bug,Insetto mutante,
,,Goblin Scout,Goblin Scout,Esploratore Goblin,
,,Cultist Acolyte,Cultist Acolyte,Cultista Accolito,
,,Chronos, Time Titan,Chronos, Time Titan
,,Void Empress,Void Empress,Imperatrice del Vuoto,
,,Primordial Golem,Primordial Golem,Golem primordiale,
,,Quantum Archon,Quantum Archon,Arconte Quantico,
,,Celestial Avatar,Celestial Avatar,Avatar Celeste,
,,Entropy Wyrm,Entropy Wyrm,Serpe entropica,
,,Master Chen,Master Chen,Maestro Chen,
,,Diego 'Jaguar' Rodriguez,Diego 'Jaguar' Rodriguez,Diego 'Giaguaro' Rodríguez,
,,Viktor 'Iron Fist' Volkov,Viktor 'Iron Fist' Volkov,Viktor 'Pugno di Ferro' Volkov,
,,Akira Tanaka,Akira Tanaka,Akira Tanaka,
,,Rashid Al-Sayf,Rashid Al-Sayf,Rashid Al-Sayf,
,,Elena 'Shadow' Rodriguez,Elena 'Shadow' Rodriguez,Elena 'Shadow' Rodriguez,
,,Morgana the Bloodweaver,Morgana the Bloodweaver,Morgana la Tessitrice di Sangue,
,,Lilith the Corruptor,Lilith the Corruptor,Lilith la Corruttrice,
,,Ravenna the Shadowbinder,Ravenna the Shadowbinder,Ravenna la Legatrice d'Ombre,
,,Hecate the Plague Mistress,Hecate the Plague Mistress,Ecate la Signora della Peste,
,,Esmeralda the Dream Weaver,Esmeralda the Dream Weaver,Esmeralda la Tessitrice di Sogni,
,,Selene the Void Witch,Selene the Void Witch,Selene la strega del vuoto,
,,Magma Titan,Magma Titan,Titano di Magma,
,,Frost Colossus,Frost Colossus,Colosso di gelo,
,,Storm Behemoth,Storm Behemoth,Behemoth della tempesta,
,,Tsunami Guardian,Tsunami Guardian,Guardiano dello Tsunami,
,,Earth Sentinel,Earth Sentinel,Sentinella della terra,
,,Wind Leviathan,Wind Leviathan,Leviatano del vento,
,,Golden Mimic,Golden Mimic,Mimic d'oro,
,,Merchant's Nightmare,Merchant's Nightmare,L'incubo del mercante,
,,Crystal Hoarder,Crystal Hoarder,Accumulatore di cristalli,
,,Treasure Golem,Treasure Golem,Golem del tesoro,
,,Luck Elemental,Luck Elemental,Elementale della fortuna,
,,Quantum Vault Keeper,Quantum Vault Keeper,Custode del caveau quantico,
,,Sewer Rat,Sewer Rat,Topo di fogna,
,,Forest Archer,Forest Archer,Arciere della foresta,
,,Gorgon Queen,Gorgon Queen,Regina Gorgone,
,,Corrupted Knight,Corrupted Knight,Cavaliere corrotto,
,,Flame Elemental,Flame Elemental,Elementale della fiamma,
,,Aquatic Elemental,Aquatic Elemental,Elementale acquatico,
,,Earth Elemental,Earth Elemental,Elementale della Metallo,
,,Air Elemental,Air Elemental,Elementale dell'Aria,
,,Vampire Lord,Vampire Lord,Signore dei Vampiri,
,,Abyssal Fiend,Abyssal Fiend,Demone Abissale,
,,Multi-Headed Hydra,Multi-Headed Hydra,Idra dalle teste multiple,
,,Labyrinth Guardian,Labyrinth Guardian,Guardiano del Labirinto,
,,Luminous Jellyfish,Luminous Jellyfish,Medusa luminosa,
,,Military Cyborg,Military Cyborg,Cyborg militare,
,,Combat Drone,Combat Drone,Drone da combattimento,
,,Battle Mech,Battle Mech,Mech da battaglia,
,,Sacred Phoenix,Sacred Phoenix,Fenice Sacra,
,,Ancient Dragon,Ancient Dragon,Drago antico,
,,Spectral Wisp,Spectral Wisp,Wisp spettrale,
,,Mountain Ogre,Mountain Ogre,Orco di montagna,
,,Taxidoggo,Taxidoggo,Taxidoggo,
,,Gray Wolf,Gray Wolf,Lupo grigio,
,,Brown Bear,Brown Bear,Orso bruno,
,,Venomous Snake,Venomous Snake,Serpente velenoso,
,,Wild Boar,Wild Boar,Cinghiale,
,,Black Panther,Black Panther,Pantera Nera,
,,Mountain Eagle,Mountain Eagle,Aquila di montagna,
,,Tree Monkey,Tree Monkey,Scimmia arboricola,
,,Giant Scorpion,Giant Scorpion,Scorpione gigante,
,,Striped Tiger,Striped Tiger,Tigre striata,
,,Vampire Bat,Vampire Bat,Pipistrello vampiro,
,,Forest Stag,Forest Stag,Cervo della foresta,
,,Golden Lion,Golden Lion,Leone d'oro,
,,Giant Spider,Giant Spider,Ragno gigante,
,,Swamp Crocodile,Swamp Crocodile,Coccodrillo di palude,
,,Red Fox,Red Fox,Volpe rossa,
,,Armored Rhinoceros,Armored Rhinoceros,Rinoceronte corazzato,
,,Giant Jellyfish,Giant Jellyfish,Medusa gigante,
,,Giant Vulture,Giant Vulture,Avvoltoio gigante,
,,Wildcat,Wildcat,Gatto selvatico,
,,Komodo Dragon,Komodo Dragon,Drago di Komodo,
,,Peregrine Falcon,Peregrine Falcon,Falco pellegrino,
,,Grizzly Bear,Grizzly Bear,Orso grizzly,
,,Monitor Lizard,Monitor Lizard,Varano,
,,Tarantula,Tarantula,Tarantola,
,,Alpha Dire Wolf,Alpha Dire Wolf,Lupo feroce alfa,
,,Hellfire Mammoth,Hellfire Mammoth,Mammut del Fuoco Infernale,
,,Titan Anaconda,Titan Anaconda,Titano Anaconda,
,,Megalodon,Megalodon,Megalodonte,
,,Sabertooth Alpha,Sabertooth Alpha,Alfa dai denti a sciabola,
,,Emperor Deathstalker,Emperor Deathstalker,Imperatore Deathstalker,
,,Volcanic Wyvern,Volcanic Wyvern,Wyvern vulcanico,
,,Blood Leech Colossus,Blood Leech Colossus,Colosso Sanguisuga di Sangue,
,,Tyrant Crocodilian,Tyrant Crocodilian,Coccodrillo tiranno,
,,Thunderwing Roc,Thunderwing Roc,Roc Ala di Tuono,
,,Abyssal Weaver,Abyssal Weaver,Tessitore abissale,
,,Behemoth Gorilla,Behemoth Gorilla,Gorilla gigante,
,,Kraken Leviathan,Kraken Leviathan,Kraken Leviatano,
,,Demon Bear,Demon Bear,Orso Demone,
,,Vampiric Nightwing,Vampiric Nightwing,Ala notturna vampirica,
,,Ghost Tiger,Ghost Tiger,Tigre fantasma,
,,Titanothere Alpha,Titanothere Alpha,Titanothere Alpha,
,,World Serpent,World Serpent,Serpente del mondo,
,,Abyssal Sea Dragon,Abyssal Sea Dragon,Drago marino abissale,
,,Primordial Behemoth,Primordial Behemoth,Behemoth primordiale,
,,Shock Slime,Shock Slime,Slime Shock,
,,Ancient Dragon :EP,Ancient Dragon :EP,Drago Antico :EP,
,,Crimson Vampire :EP,Crimson Vampire :EP,Crimson Vampire :EP,
,,Yog-Sothoth Spawn :EP,Yog-Sothoth Spawn :EP,Sì-Sothoth Spawn :EP,
,,Dragon Monk :EP,Dragon Monk :EP,Monaco Drago :EP,
,,Motivational Speaker :EP,Motivational Speaker :EP,Oratore motivazionale: EP,
,,Entropy Wyrm :EP,Entropy Wyrm :EP,Entropy Wyrm :EP,
,,Battle Mech :EP,Battle Mech :EP,Mech da battaglia :EP,
,,Hyperdimensional Cube :EP,Hyperdimensional Cube :EP,Cubo iperdimensionale :EP,
,,Celestial Avatar :EP,Celestial Avatar :EP,Avatar Celeste :EP,
,,Blood Countess :EP,Blood Countess :EP,Contessa Sanguinaria :EP,
,,Diamond Mimic :EP,Diamond Mimic :EP,Diamond Mimic :EP,
,,Quantum Fluctuation :EP,Quantum Fluctuation :EP,Fluttuazione quantistica :EP,
,,Maggot,Maggot,Verme,
,,Plaguebro Rattus,Plaguebro Rattus,Ratto della peste,
,,Dread Knight,Dread Knight,Cavaliere del Terrore,
,,Basilisk,Basilisk,Basilisco,
,,Nightmare Mage,Nightmare Mage,Mago dell'incubo,
,,Alpha Warg,Alpha Warg,Labbro alfa,
,,Kraken Spawn,Kraken Spawn,Progenie del Kraken,
,,Permafrost Dragon,Permafrost Dragon,Drago del permafrost,
,,War Hyppotaur,War Hyppotaur,Ippotauro da guerra,
,,Harpy Banshee,Harpy Banshee,Arpia Banshee,
,,Platinum Mimic,Platinum Mimic,Platino Mimic,
,,Mountain Titan,Mountain Titan,Titano di montagna,
,,Blood Countess,Blood Countess,Contessa Sanguinaria,
,,War Idol,War Idol,Era un idolo,
,,Mech Guardian,Mech Guardian,Guardiano Mech,
,,Mind Flayer,Mind Flayer,Scorticatore mentale,
,,Storm Elemental,Storm Elemental,Elementale della tempesta,
,,Jungle Constrictor,Jungle Constrictor,Costritore della giungla,
,,Coral Enchantress,Coral Enchantress,Incantatrice di corallo,
,,Infernal Warmonger,Infernal Warmonger,Guerrafondaio infernale,
,,Abyssal Hydromancer,Abyssal Hydromancer,Idromante Abissale,
,,Mystic Panther,Mystic Panther,Pantera mistica,
,,Siege Automation,Siege Automation,Automazione dell'assedio,
,,Reality Warper,Reality Warper,Distorsore della realtà,
,,Abyssal Serpent,Abyssal Serpent,Serpente abissale,
,,Moss Viper,Moss Viper,Vipera del muschio,
,,Living Armor,Living Armor,Armatura vivente,
,,Brine Wisp,Brine Wisp,Salamoia Wisp,
,,Ember Sprite,Ember Sprite,Ember Sprite,
,,Terra Golem,Terra Golem,,
,,Zephyr Djinn,Zephyr Djinn,Zefiro Djinn,
,,Siren Enchantress,Siren Enchantress,Sirena Incantatrice,
,,Crimson Analizer,Crimson Analizer,Crimson Analizer,
,,Sorrow Specter,Sorrow Specter,Spettro del dolore,
,,Dream Weaver,Dream Weaver,Tessitore di sogni,
,,Desert Commander,Desert Commander,Comandante del deserto,
,,Electro Arachnid,Electro Arachnid,Aracnide elettrico,
,,Toxic Ooze,Toxic Ooze,Melma tossica,
,,Rogue Sentinel,Rogue Sentinel,Sentinella Ribelle,
,,Frost Enchantress,Frost Enchantress,Incantatrice del gelo,
,,Venomous Stalker,Venomous Stalker,Stalker velenoso,
,,Abyssal Tentacler,Abyssal Tentacler,Tentacolo abissale,
,,Young Magma Drake,Young Magma Drake,Giovane drago di magma,
,,Juvenile Ice Wyrm,Juvenile Ice Wyrm,Drago di ghiaccio giovane,
,,Shadow Blade,Shadow Blade,Lama d'ombra,
,,Emerald Stalker,Emerald Stalker,Stalker di smeraldo,
,,Breeze Phantom,Breeze Phantom,Fantasma di Brezza,
,,Caustic Slime,Caustic Slime,Melma caustica,
,,Crimson Harvester,Crimson Harvester,Mietitrice cremisi,
,,Guardian Vindicator,Guardian Vindicator,Guardiano Vendicatore,
,,Frost Weaver,Frost Weaver,Tessitore di gelo,
,,Fossil Sentinel,Fossil Sentinel,Sentinella fossile,
,,Soul Siphon,Soul Siphon,Sifone dell'anima,
,,Cinder Weaver,Cinder Weaver,Tessitore di cenere,
,,Nightveil Assassin,Nightveil Assassin,Assassino del Velo Notturno,
,,Crumbling Colossus,Crumbling Colossus,Colosso in rovina,
,,Tide Wraith,Tide Wraith,Spettro della marea,
,,Inferno Sprite,Inferno Sprite,Sprite dell'Inferno,
,,Animated Arsenal,Animated Arsenal,Arsenale animato,
,,Seafoam Enchantress,Seafoam Enchantress,Incantatrice di schiuma di mare,
,,Mind Sculptor,Mind Sculptor,Scultore della mente,
,,Deep Hunter,Deep Hunter,Cacciatore profondo,
,,Molten Hatchling,Molten Hatchling,Cucciolo fuso,
,,Glacier Serpent,Glacier Serpent,Ghiacciaio Serpent,
,,Toxic Infiltrator,Toxic Infiltrator,Infiltratore tossico,
,,Animated Gravestalker,Animated Gravestalker,Gravestalker animato,
,,Brimstone Weaver,Brimstone Weaver,Tessitore di zolfo,
,,Winter's Harbinger,Winter's Harbinger,Presagio d'inverno,
,,Consecrated Guardian,Consecrated Guardian,Guardiano consacrato,
,,Tempest Spirit,Tempest Spirit,Spirito della Tempesta,
,,Anguish Phantom,Anguish Phantom,Fantasma dell'angoscia,
,,Reality Bender,Reality Bender,Reality Bender,
,,Virulent Slimefiend,Virulent Slimefiend,Demone virulento,
,,Iron Sentinel,Iron Sentinel,Sentinella di ferro,
,,Living Monolith,Living Monolith,Monolite vivente,
,,Jungle Stalker,Jungle Stalker,Cacciatore della giungla,
,,Bloodthirsty Crusader,Bloodthirsty Crusader,Crociato assetato di sangue,
,,Ethereal Devourer,Ethereal Devourer,Divoratore Etereo,
,,Ocean Warlock,Ocean Warlock,Stregone dell'oceano,
,,Mountain Crusher,Mountain Crusher,Frantoio di montagna,
,,Mind Manipulator,Mind Manipulator,Manipolatore mentale,
,,Defense Prototype,Defense Prototype,Prototipo di difesa,
,,Toxic Amalgam,Toxic Amalgam,Amalgama tossica,
,,Permafrost Conjurer,Permafrost Conjurer,Evocatore del permafrost,
,,Infernal Prodigy,Infernal Prodigy,Prodigio infernale,
,,Necrotic Champion,Necrotic Champion,Campione Necrotico,
,,Devoted Templar,Devoted Templar,Templare devoto,
,,Venom Lord,Venom Lord,Signore del Veleno,
,,Midnight Hunter,Midnight Hunter,Cacciatore di mezzanotte,
,,Cyclone Master,Cyclone Master,Maestro del ciclone,
,,Scorched Tyrant,Scorched Tyrant,Tiranno bruciato,
,,Nightmare Weaver,Nightmare Weaver,Tessitore di incubi,
,,Forest's Vengeance,Forest's Vengeance,La vendetta della foresta,
,,Void Manipulator,Void Manipulator,Manipolatore del vuoto,
,,Primal Guardian,Primal Guardian,Guardiano Primordiale,
,,Divine Arbiter,Divine Arbiter,Arbitro Divino,
,,Paralytic Hunter,Paralytic Hunter,Cacciatore paralitico,
,,Molten Juggernaut,Molten Juggernaut,Juggernaut Fuso,
,,Crimson Harbinger,Crimson Harbinger,Araldo Cremisi,
,,Fey Enchantress,Fey Enchantress,Incantatrice fatata,
,,Tide Sculptor,Tide Sculptor,Scultore delle maree,
,,Corrosive Matrix,Corrosive Matrix,Matrice corrosiva,
,,Star Caller,Star Caller,Chiamante delle stelle,
,,Essence Leech,Essence Leech,Sanguisuga di essenza,
,,Bone Commander,Bone Commander,Comandante delle ossa,
,,Winter's Herald,Winter's Herald,Araldo d'inverno,
,,Venomfang Archer,Venomfang Archer,Arciere Venomfang,
,,Thought Weaver,Thought Weaver,Tessitore di pensieri,
,,Luminous Defender,Luminous Defender,Difensore luminoso,
,,Jungle Predator,Jungle Predator,Predatore della giungla,
,,Ember Serpent,Ember Serpent,Serpente di Brace,
,,Mystic Prodigy,Mystic Prodigy,Prodigio Mistico,
,,Gilded Guardian,Gilded Guardian,Guardiano dorato,
,,Infernal Devastator,Infernal Devastator,Devastatore infernale,
,,Mountain Sovereign,Mountain Sovereign,Sovrano della montagna,
,,Ethereal Tactician,Ethereal Tactician,Tattico Eterico,
,,Frost Archmagus,Frost Archmagus,Arcimago del Gelo,
,,Ancient Terror,Ancient Terror,Terrore antico,
,,Shadow Executioner,Shadow Executioner,Boia Ombra,
,,Maelstrom Sovereign,Maelstrom Sovereign,Sovrano del Maelstrom,
,,Nightmare Lord,Nightmare Lord,Signore dell'Incubo,
,,Crimson Patriarch,Crimson Patriarch,Patriarca Cremisi,
,,Crag Behemoth,Crag Behemoth,Behemoth delle rocce,
,,Abyssal Horror,Abyssal Horror,Orrore abissale,
,,Astral Sentinel,Astral Sentinel,Sentinella astrale,
,,Venomous Sovereign,Venomous Sovereign,Sovrano velenoso,
,,Radiant Justicar,Radiant Justicar,Giustiziere radioso,
,,Mind Overlord,Mind Overlord,Signore della Mente,
,,Shadowthread Weaver,Shadowthread Weaver,Tessitore di fili d'ombra,
,,Mountain Devastator,Mountain Devastator,Devastatore di montagne,
,,Infernal Monarch,Infernal Monarch,Monarca infernale,
,,Frost Wyrm,Frost Wyrm,Drago del gelo,
,,Forest Sovereign,Forest Sovereign,Sovrano della foresta,
,,Stone Shifter,Stone Shifter,Spostatore di pietre,
,,Ember Imp,Ember Imp,Ember Imp,
,,Slime Crawler,Slime Crawler,Strisciante viscido,
,,Bone Sentinel,Bone Sentinel,Sentinella delle ossa,
,,Shadow Stalker,Shadow Stalker,Shadow Stalker,
,,Venom Fang,Venom Fang,Venom Catch,
,,Novice Paladin,Novice Paladin,Paladino novizio,
,,Frost Apprentice,Frost Apprentice,Apprendista del gelo,
,,Water Sprite,Water Sprite,Spirito dell'acqua,
,,Minor Wraith,Minor Wraith,Spettro minore,
,,Novice Illusionist,Novice Illusionist,Illusionista principiante,
,,Stone Guardian,Stone Guardian,Guardiano di pietra,
,,Fear Siphon,Fear Siphon,Sifone della paura,
,,Flame Wisp,Flame Wisp,Fiamma Wisp,
,,Wandering Knight,Wandering Knight,Cavaliere errante,
,,Zephyr Sprite,Zephyr Sprite,Zephyr Sprite,
,,Siren Apprentice,Siren Apprentice,Apprendista Sirena,
,,Blood Initiate,Blood Initiate,Iniziato del sangue,
,,Webweaver,Webweaver,Tessitore di ragnatele,
,,Magma Overlord,Magma Overlord,Signore del Magma,
,,Nightmare Sovereign,Nightmare Sovereign,Sovrano dell'incubo,
,,Soul Harvester,Soul Harvester,Mietitore di anime,
,,Crimson Tyrant,Crimson Tyrant,Tiranno Cremisi,
,,War Colossus,War Colossus,Colosso di guerra,
,,Obsidian Dreadnought,Obsidian Dreadnought,Corazzata di ossidiana,
,,Abyssal Devourer,Abyssal Devourer,Divoratore Abissale,
,,Maelstrom Leviathan,Maelstrom Leviathan,Leviatano del Maelstrom,
,,Glacial Titan,Glacial Titan,Titano glaciale,
,,Shadow Assassin,Shadow Assassin,Assassino Ombra,
,,Mind Tyrant,Mind Tyrant,Tiranno della mente,
,,Celestial Arbiter,Celestial Arbiter,Arbitro Celeste,
,,Infernal Annihilator,Infernal Annihilator,Annientatore infernale,
,,Toxic Behemoth,Toxic Behemoth,Behemoth tossico,
,,Void Weaver,Void Weaver,Tessitore del Vuoto,
,,Storm Harbinger,Storm Harbinger,Araldo della tempesta,
,,Frost Monarch,Frost Monarch,Monarca del gelo,
,,Mountain King,Mountain King,Re della montagna,
,,Bloodlord Supreme,Bloodlord Supreme,Signore Supremo del Sangue,
,,Goblin Runt,Goblin Runt,Goblin in giro,
,,Goblin Archer,Goblin Archer,Arciere Goblin,
,,Goblin Firestarter,Goblin Firestarter,Goblin Firestarter,
,,Goblin Mounted Archer,Goblin Mounted Archer,Arciere Goblin a Cavallo,
,,Goblin Cavalry,Goblin Cavalry,Cavalleria Goblin,
